item_id,download_link
hapcheon-0217,http://urisori.co.kr/sound/origin/gn/hapcheon/hapcheon-0217.mp3
gyeongju-0214,http://urisori.co.kr/sound/origin/gb/gyeongju/gyeongju-0214.mp3
euiseong-0111,http://urisori.co.kr/sound/origin/gb/euiseong/euiseong-0111.mp3
gw.goseong-0932,http://urisori.co.kr/sound/origin/gw/gw.goseong/gw.goseong-0932.mp3
sangju-1024,http://urisori.co.kr/sound/origin/gb/sangju/sangju-1024.mp3
nonsan-0603,http://urisori.co.kr/sound/origin/cn/nonsan/nonsan-0603.mp3
muan-0137,http://urisori.co.kr/sound/origin/jn/muan/muan-0137.mp3
sinan-0821,http://urisori.co.kr/sound/origin/jn/sinan/sinan-0821.mp3
haenam-0317,http://urisori.co.kr/sound/origin/jn/haenam/haenam-0317.mp3
euiryeong-0311,http://urisori.co.kr/sound/origin/gn/euiryeong/euiryeong-0311.mp3
yeongil-0102,http://urisori.co.kr/sound/origin/gb/yeongil/yeongil-0102.mp3
bonghwa-0316,http://urisori.co.kr/sound/origin/gb/bonghwa/bonghwa-0316.mp3
gwangyang-0216,http://urisori.co.kr/sound/origin/jn/gwangyang/gwangyang-0216.mp3
jinan-0312,http://urisori.co.kr/sound/origin/jb/jinan/jinan-0312.mp3
euiseong-0242,http://urisori.co.kr/sound/origin/gb/euiseong/euiseong-0242.mp3
goheung-0418,http://urisori.co.kr/sound/origin/jn/goheung/goheung-0418.mp3
incheon-0233,http://urisori.co.kr/sound/origin/gg/incheon/incheon-0233.mp3
bukjeju-0806,http://urisori.co.kr/sound/origin/jj/bukjeju/bukjeju-0806.mp3
yeonggwang-0107,http://urisori.co.kr/sound/origin/jn/yeonggwang/yeonggwang-0107.mp3
hamyang-0152,http://urisori.co.kr/sound/origin/gn/hamyang/hamyang-0152.mp3
euiseong-0121,http://urisori.co.kr/sound/origin/gb/euiseong/euiseong-0121.mp3
boryeong-0509,http://urisori.co.kr/sound/origin/cn/boryeong/boryeong-0509.mp3
bukjeju-0405,http://urisori.co.kr/sound/origin/jj/bukjeju/bukjeju-0405.mp3
gw.goseong-1209,http://urisori.co.kr/sound/origin/gw/gw.goseong/gw.goseong-1209.mp3
jindo-0116,http://urisori.co.kr/sound/origin/jn/jindo/jindo-0116.mp3
taean-0305,http://urisori.co.kr/sound/origin/cn/taean/taean-0305.mp3
geumsan-0913,http://urisori.co.kr/sound/origin/cn/geumsan/geumsan-0913.mp3
yanggu-0919,http://urisori.co.kr/sound/origin/gw/yanggu/yanggu-0919.mp3
yeongam-0423,http://urisori.co.kr/sound/origin/jn/yeongam/yeongam-0423.mp3
gunwi-0205,http://urisori.co.kr/sound/origin/gb/gunwi/gunwi-0205.mp3
gimhae-0210,http://urisori.co.kr/sound/origin/gn/gimhae/gimhae-0210.mp3
boryeong-0513,http://urisori.co.kr/sound/origin/cn/boryeong/boryeong-0513.mp3
hoengseong-0512,http://urisori.co.kr/sound/origin/gw/hoengseong/hoengseong-0512.mp3
cheolwon-1114,http://urisori.co.kr/sound/origin/gw/cheolwon/cheolwon-1114.mp3
hamyang-0611,http://urisori.co.kr/sound/origin/gn/hamyang/hamyang-0611.mp3
yangyang-0208,http://urisori.co.kr/sound/origin/gw/yangyang/yangyang-0208.mp3
jeongseon-1314,http://urisori.co.kr/sound/origin/gw/jeongseon/jeongseon-1314.mp3
geumreung-0723,http://urisori.co.kr/sound/origin/gb/geumreung/geumreung-0723.mp3
seongju-0504,http://urisori.co.kr/sound/origin/gb/seongju/seongju-0504.mp3
gokseong-0202,http://urisori.co.kr/sound/origin/jn/gokseong/gokseong-0202.mp3
yeonggwang-0403,http://urisori.co.kr/sound/origin/jn/yeonggwang/yeonggwang-0403.mp3
jincheon-0102,http://urisori.co.kr/sound/origin/cb/jincheon/jincheon-0102.mp3
geumsan-0924,http://urisori.co.kr/sound/origin/cn/geumsan/geumsan-0924.mp3
uljin-0202,http://urisori.co.kr/sound/origin/gb/uljin/uljin-0202.mp3
jangsu-0119,http://urisori.co.kr/sound/origin/jb/jangsu/jangsu-0119.mp3
milyang-0102,http://urisori.co.kr/sound/origin/gn/milyang/milyang-0102.mp3
icheon-0412,http://urisori.co.kr/sound/origin/gg/icheon/icheon-0412.mp3
euiseong-0719,http://urisori.co.kr/sound/origin/gb/euiseong/euiseong-0719.mp3
pyeongchang-1113,http://urisori.co.kr/sound/origin/gw/pyeongchang/pyeongchang-1113.mp3
yangyang-0318,http://urisori.co.kr/sound/origin/gw/yangyang/yangyang-0318.mp3
pyeongchang-1311,http://urisori.co.kr/sound/origin/gw/pyeongchang/pyeongchang-1311.mp3
seongju-0529,http://urisori.co.kr/sound/origin/gb/seongju/seongju-0529.mp3
bonghwa-0721,http://urisori.co.kr/sound/origin/gb/bonghwa/bonghwa-0721.mp3
iksan-0412,http://urisori.co.kr/sound/origin/jb/iksan/iksan-0412.mp3
yeonggwang-0601,http://urisori.co.kr/sound/origin/jn/yeonggwang/yeonggwang-0601.mp3
incheon-0223,http://urisori.co.kr/sound/origin/gg/incheon/incheon-0223.mp3
jincheon-0306,http://urisori.co.kr/sound/origin/cb/jincheon/jincheon-0306.mp3
seosan-0502,http://urisori.co.kr/sound/origin/cn/seosan/seosan-0502.mp3
geumreung-0429,http://urisori.co.kr/sound/origin/gb/geumreung/geumreung-0429.mp3
yeongyang-0206,http://urisori.co.kr/sound/origin/gb/yeongyang/yeongyang-0206.mp3
buyeo-0111,http://urisori.co.kr/sound/origin/cn/buyeo/buyeo-0111.mp3
yecheon-0904,http://urisori.co.kr/sound/origin/gb/yecheon/yecheon-0904.mp3
yanggu-0209,http://urisori.co.kr/sound/origin/gw/yanggu/yanggu-0209.mp3
hadong-0407,http://urisori.co.kr/sound/origin/gn/hadong/hadong-0407.mp3
cheongsong-0103,http://urisori.co.kr/sound/origin/gb/cheongsong/cheongsong-0103.mp3
jindo-0543,http://urisori.co.kr/sound/origin/jn/jindo/jindo-0543.mp3
yecheon-0303,http://urisori.co.kr/sound/origin/gb/yecheon/yecheon-0303.mp3
yeongdeok-0408,http://urisori.co.kr/sound/origin/gb/yeongdeok/yeongdeok-0408.mp3
gunwi-0109,http://urisori.co.kr/sound/origin/gb/gunwi/gunwi-0109.mp3
