item_id,Filename
Pod_290,Vinnytsia_ballads_584v_Oj jakby ja do Kyyeva
Pod_291,Vinnytsia_ballads_584v1_Oj jakby ja do Kyyeva
Pod_292,Vinnytsia_ballads_584v2_Oj jakby ja do Kyyeva
Pod_293,"Vinnytsia_ballads_585_Dolym, dolym, dolynoju"
Pod_294,Vinnytsia_ballads_586_Oj poyikhav korolenko
Pod_295,Vinnytsia_ballads_586v_Oj poyikhav korolenko
Pod_296,"Vinnytsia_ballads_587_Chy ne budesh, divchynon'ko"
Pod_297,Vinnytsia_ballads_588_Chervona kalynon'ka
Pod_298,Vinnytsia_ballads_589_Teche richka nevelychka
Pod_299,Vinnytsia_ballads_590_Oj vzhe tomu kozakovi
Pod_300,Vinnytsia_ballads_591_Oj sjadu ja kraj stola
Pod_301,Vinnytsia_ballads_591v_Oj sjadu ja kraj stola
Pod_302,Vinnytsia_ballads_591v1_Oj sjadu ja kraj stola
Pod_303,Vinnytsia_ballads_591v2_Oj sjadu ja kraj stola
Pod_304,Vinnytsia_ballads_592_Kalyna-malyna
Pod_305,Vinnytsia_ballads_592v_Kalyna-malyna
Pod_306,"Vinnytsia_ballads_593_Jarom, khloptsi, jarom"
Pod_307,"Vinnytsia_ballads_593v_Jarom, khloptsi, jarom"
Pod_308,Vinnytsia_ballads_594_j A v poli konopli
Pod_309,Vinnytsia_ballads_595_(i) Oj zatsvilo synoye more
Pod_310,"Vinnytsia_ballads_596_Na hori, hori"
Pod_311,"Vinnytsia_ballads_597_Oj hory, hory"
Pod_312,Vinnytsia_ballads_598_Oj koly b ja znala
Pod_313,Vinnytsia_ballads_598v_Oj koly b ja znala
Pod_314,"Vinnytsia_ballads_599_Povij, vitre ta j bujnesen'kyj"
Pod_315,Vinnytsia_ballads_600_V shyrokij dolyni
Pod_316,Vinnytsia_ballads_601_Oj tam Roman sino kose
Pod_317,"Vinnytsia_ballads_602_Oj ty, kovalju"
Pod_318,Vinnytsia_ballads_603_Oj kovalju
Pod_319,Vinnytsia_ballads_604_V chystyj chetver po vecheri
Pod_320,Vinnytsia_ballads_605_Popid hajkom
Pod_321,"Vinnytsia_ballads_606_Dozvol' meni, maty"
Pod_322,"Vinnytsia_ballads_607_Dozvol' meni, maty"
Pod_325,Vinnytsia_ballads_610_Jak ja v svoyij nen'ky
Pod_326,Vinnytsia_ballads_611_Zajshlo sontse za vikontse
Pod_327,Vinnytsia_ballads_612_Zajshlo sontse za vikontse
Pod_328,Vinnytsia_ballads_612v_Zajshlo sontse za vikontse
Pod_329,"Vinnytsia_ballads_613_Hej, koly b Boh dav"
Pod_330,"Vinnytsia_ballads_614_Oj daj, Bozhe"
Pod_332,"Vinnytsia_ballads_616_Vmyraj, staryj, vmyraj"
Pod_334,Vinnytsia_ballads_618_Oj u poli ozerechko
Pod_335,Vinnytsia_ballads_619_Oj u poli ozerechko
Pod_336,Vinnytsia_ballads_619v_Oj u poli ozerechko
Pod_337,"Vinnytsia_ballads_620_Oj ty sad, ty mij sad"
Pod_338,"Vinnytsia_ballads_621_Oj ty sad, ty moj sad"
Pod_339,"Vinnytsia_ballads_622_Oj zadumav, zahadav"
Pod_340,Vinnytsia_ballads_623_Solovejko syven'kyj
Pod_341,Vinnytsia_ballads_624_Oj vyjdu ja na horu
Pod_342,Vinnytsia_ballads_624v_Oj vyjdu ja na horu
Pod_343,Vinnytsia_ballads_625_Mala maty yednu dochku
Pod_344,Vinnytsia_ballads_625v_Mala maty yednu dochku
Pod_345,Vinnytsia_ballads_626_Mala maty odnu dochku
Pod_346,Vinnytsia_ballads_626v_Mala maty odnu dochku
Pod_348,Vinnytsia_ballads_628_Oj posiju ja shal'viju
Pod_349,Vinnytsia_ballads_628v_Oj posiju ja shal'viju
Pod_350,Vinnytsia_ballads_629_Oj pidu ja v lis po drova
Pod_351,Vinnytsia_ballads_629v_Oj pidu ja v lis po drova
Pod_352,Vinnytsia_ballads_629v1_Oj pidu ja v lis po drova
Pod_353,"Vinnytsia_ballads_630_Sama shyla, sama prjala"
Pod_355,Vinnytsia_ballads_631_Ne zhal' meni
Pod_356,Vinnytsia_ballads_632_V subotu piznen'ko
Pod_357,Vinnytsia_ballads_633_Jak poyikhav Ivanjusha
Pod_358,"Vinnytsia_ballads_634_Oj za hajkom, za Dunajkom"
Pod_359,"Vinnytsia_ballads_634v_Oj za hajkom, za Dunajkom"
Pod_360,Vinnytsia_ballads_635_Poza luzhkom zelenen'kim
Pod_361,Vinnytsia_ballads_635v_Poza luzhkom zelenen'kim
Pod_362,Vinnytsia_ballads_635v1_Poza luzhkom zelenen'kim
Pod_363,Vinnytsia_ballads_635v2_Poza luzhkom zelenen'kim
Pod_364,Vinnytsia_ballads_635v3_Poza luzhkom zelenen'kim
Pod_365,Vinnytsia_ballads_636_Da chorna khmarka nastupaye
Pod_366,Vinnytsia_ballads_637_(j) A vsi hory zelenijut
Pod_367,Vinnytsia_ballads_638_Usi hory zelenijut'
Pod_368,Vinnytsia_ballads_638v_Usi hory zelenijut'
Pod_369,Vinnytsia_ballads_638v1_Usi hory zelenijut'
Pod_370,Vinnytsia_ballads_638v2_Usi hory zelenijut'
Pod_371,Vinnytsia_ballads_638v3_Usi hory zelenijut'
Pod_374,Vinnytsia_ballads_640_Posadzhu ja vynohradu
Pod_375,Vinnytsia_ballads_640v_Posadzhu ja vynohradu
Pod_376,Vinnytsia_ballads_641_Teche richechka
Pod_377,Vinnytsia_ballads_642_Oddavala maty dochku
Pod_378,Vinnytsia_ballads_642v_Oddavala maty dochku
Pod_379,Vinnytsia_ballads_643_Mala maty yednu dochku
Pod_380,Vinnytsia_ballads_644_Mala maty dochku
Pod_381,Vinnytsia_ballads_644v_Mala maty dochku
Pod_382,Vinnytsia_ballads_644v1_Mala maty dochku
Pod_383,"Vinnytsia_ballads_645_Oj davno zh ja, davno"
Pod_384,Vinnytsia_ballads_646_Letila zozulja
Pod_385,Vinnytsia_ballads_647_Oj letila zozulen'ka
Pod_386,Vinnytsia_ballads_647v_Oj letila zozulen'ka
Pod_387,Vinnytsia_ballads_647v1_Oj letila zozulen'ka
Pod_388,Vinnytsia_ballads_647v2_Oj letila zozulen'ka
Pod_389,Vinnytsia_ballads_647v3_Oj letila zozulen'ka
Pod_391,Vinnytsia_ballads_649_Khtos' u lisi blukaye
Pod_392,Vinnytsia_294_Stradalnaia maty
Pod_393,Vinnytsia_295_Oi u sadu Hetsymanskim
Pod_394,"Kmeln_439_Kazhut liude, zhy ya umru"
Pod_395,Kmeln_440_Shchaslyvaia taia put
Pod_396,Kmeln_441_ yA v novomu Rusalymu
Pod_397,Vinnytsia_1000_Po nebu misiats_(Пізня лірика)
Pod_398,"Vinnytsia_650_Oi ty, divchyno_(01-ЛК-02)"
Pod_399,Vinnytsia_651_Cherez horu_(01-ЛК-03)
Pod_400,"Vinnytsia_652_Oi divchyno, chiia ty_(01-ЛК-06)"
Pod_401,Vinnytsia_653_Oi u poli koryto_(01-ЛК-06+02-ЛК-05)
Pod_402,Vinnytsia_654_Oi u lisi pid dubkom_(01-ЛК-06+06-ЛК-04)
Pod_403,Vinnytsia_655_Shcho zh to za ptashyna_(02-ЛК-01)
Pod_404,Vinnytsia_656_Oi chyia to pshynychenka_(01-ЛК-08)
Pod_405,Vinnytsia_657_Syvyi konyk_(01-ЛК-08)
Pod_407,Vinnytsia_659_Oi stanu ya na porozi_(02-ЛК-04)
Pod_408,Vinnytsia_660_Po tsei bik hora_(02-ЛК-06)
Pod_409,Vinnytsia_661_V nas u lisi krynychenka_(02-ЛК-06)
Pod_410,Vinnytsia_662_Oi u poli verba_(02-ЛК-06а)
Pod_411,"Vinnytsia_663_Smutnyi vechir, smutnyi ranok_(02-ЛК-07)"
Pod_412,Vinnytsia_664_Lytiv solovei_(02-ЛК-08)
Pod_413,Vinnytsia_665_Oi u luzi kalyna stoiala_(02-ЛК-09)
Pod_414,"Vinnytsia_666_Svityt misiats, svityt yasnyi_(02-ЛК-10)"
Pod_415,Vinnytsia_667_Yakby meni takyi vik dovhyi_(02-ЛР-01а)
Pod_416,"Vinnytsia_668_Oi z-za hory yasen misiats, z-za hory_(02-ЛР-03)"
Pod_417,Vinnytsia_669_Oi pidu ya u lisok_(02-ЛР-03)
Pod_418,Vinnytsia_670_A poslala mene maty_(02-ЛР-04)
Pod_419,Vinnytsia_671_Bolyt v mene holovonka_(02-ЛР-04)
Pod_420,Vinnytsia_672_Kachalasia barylochka_(02-ЛР-04)
Pod_421,"Vinnytsia_673_Oi tam u haiu, u haiu_(02-РК-01)"
Pod_422,"Vinnytsia_674_Perestan, kozache_(03-ЛК або 05-ЛК)"
Pod_423,Vinnytsia_675_Teche richka nevelychka_(03-ЛК-07)
Pod_424,"Vinnytsia_676_Svity, misiats, horoiu_(03-ЛК-01)"
Pod_425,"Vinnytsia_677_Zazhdy mene, kozache_(03-ЛК-01)"
Pod_426,Vinnytsia_678_Chy chula zh ty_(03-ЛК-02+13-ЛР-01)
Pod_427,"Vinnytsia_679_Ei, oi tam za lisochkom_(03-ЛК-08)"
Pod_428,Vinnytsia_680_Oi u poli krynychenka_(03-ЛК-09)
Pod_429,Vinnytsia_681_Od polia do polia_(03-ЛК-10)
Pod_430,Vinnytsia_682_Oi vysoke hillia_(03-ЛК-04)
Pod_431,Vinnytsia_683_Sydyt holub na dubochku_(03-ЛК)
Pod_432,Vinnytsia_684_Oi u luzi kalyna_(04-ЛК)
Pod_433,"Vinnytsia_685_Oi ne siiavshe, ne oravshe_(04-ЛК-02)"
Pod_435,"Vinnytsia_688_Oi pid mostom, mostom_(04-ЛК-06)"
Pod_436,Vinnytsia_689_Chohos meni sumno_(04-ЛР-01)
Pod_437,Vinnytsia_690_Oi u poli dvi topoli_(05-ЛК-01)
Pod_438,Vinnytsia_691_Oi u poli na horbochku_(05-ЛК-02)
Pod_439,Vinnytsia_703_A v nediliu ranesenko_(05-ЛК-11)
Pod_440,"Vinnytsia_704_Oi ty, vyshenko_(05-ЛК-15)"
Pod_441,Vinnytsia_705_Oi u poli bereza_(05-ЛК-20)
Pod_442,"Vinnytsia_706_Oi ty, dube kucheriavyi_(05-ЛК-23)"
Pod_443,Vinnytsia_707_Tuman yarom po dolyni_(05-ЛР-01)
Pod_444,Vinnytsia_708_U poli bereza_(05-ЛР-03)
Pod_445,Vinnytsia_709_U poli bereza_(05-ЛР-03)
Pod_446,"Vinnytsia_710_Oi de b ya, de b ya_(05-ЛР-04)"
Pod_447,Vinnytsia_711_Posiiala ohirochki_(06-ЛК-01)
Pod_448,Vinnytsia_713_Cherez horku ta v lisok_(06-ЛК-04)
Pod_449,Vinnytsia_714_Viter z polia_(06-ЛК-07)
Pod_451,"Vinnytsia_716_Rosty, khmeliu, nad vodoiu_(06-ЛК-11)"
Pod_452,Vinnytsia_717_Oi vyidu ya na mohylu_(06-ЛК-11+04-ЛК-04)
Pod_453,Vinnytsia_718_Skryplyvii voritechka_(06-ЛК-11)
Pod_454,Vinnytsia_719_Polovyna sadu tsvyte_(06-ЛК-13+03-ЛК-07)
Pod_455,"Vinnytsia_720_Zatopyla, zasmalyla_(06-ЛК-ЛР)"
Pod_456,Vinnytsia_721_Oi vyshenka-chereshenka_(07-ЛК)
Pod_457,"Vinnytsia_722_Ne svity, misiatsiu_(07-ЛК-01а)"
Pod_458,Vinnytsia_723_Ya v dolyni kolyna_(07-ЛК)
Pod_459,Vinnytsia_724_Oi divchyno-divchynonko_(03-ЛК+07-ЛК)
Pod_460,"Vinnytsia_725_Oi za dvorom, za dvorom_(07-ЛК-04)"
Pod_461,Vinnytsia_726_Oi u lisi_(07-ЛК-05а)
Pod_462,"Vinnytsia_727_Oi ty, dube, dube_(07-ЛК-06)"
Pod_463,"Vinnytsia_728_Kudy yidesh, vidizhzhaiesh_(07-ЛК-08+03-ЛК-06)"
Pod_464,Vinnytsia_729_V kintsi hrebli shumliat verby_(07-ЛК-09)
Pod_465,Vinnytsia_730_Ne zhal meni na havonku_(07-ЛК-10)
Pod_466,"Vinnytsia_731_Oi u luzi, v luzi_(07-ЛК-23)"
