component,explained_variance_ratio,cumulative_variance
295,0.0008387596,0.72445065
296,0.0008355296,0.7252862
297,0.00083132676,0.7261175
298,0.0008269509,0.72694445
299,0.00082376844,0.72776824
300,0.0008225458,0.7285908
301,0.00082076265,0.72941154
302,0.00081831816,0.73022985
303,0.0008163255,0.7310462
304,0.0008096057,0.7318558
305,0.00080636627,0.7326622
306,0.00080516987,0.7334674
307,0.0008027415,0.73427016
308,0.00079925347,0.7350694
309,0.0007974419,0.73586684
310,0.0007923441,0.73665917
311,0.00078885036,0.73744804
312,0.00078432495,0.7382324
313,0.0007841189,0.7390165
314,0.0007782348,0.73979473
315,0.0007750508,0.7405698
316,0.0007726839,0.7413424
317,0.0007706779,0.7421131
318,0.00076692546,0.74288005
319,0.0007642755,0.7436443
320,0.0007607539,0.74440503
321,0.00075835676,0.7451634
322,0.00075335574,0.7459167
323,0.0007505287,0.74666727
324,0.0007490566,0.7474163
325,0.0007471721,0.74816346
326,0.0007462838,0.7489098
327,0.0007444306,0.7496542
328,0.00074240525,0.75039655
329,0.00074111985,0.7511377
330,0.00074067095,0.7518783
331,0.0007363138,0.7526146
332,0.00073550286,0.75335014
333,0.0007305449,0.7540807
334,0.0007294588,0.75481015
335,0.0007268781,0.75553703
336,0.0007230644,0.7562601
337,0.00071931595,0.7569794
338,0.0007166495,0.75769603
339,0.0007162567,0.7584123
340,0.0007152686,0.75912756
341,0.0007124166,0.75983995
342,0.0007116257,0.7605516
343,0.0007076111,0.7612592
344,0.00070717157,0.76196635
345,0.0007056773,0.762672
346,0.000704403,0.7633764
347,0.00069998665,0.7640764
348,0.0006978784,0.76477426
349,0.00069668435,0.7654709
350,0.00069314684,0.76616406
351,0.00069158484,0.76685566
352,0.0006898043,0.76754546
353,0.00068552897,0.768231
354,0.00068474846,0.7689157
355,0.0006828471,0.76959854
356,0.0006817479,0.7702803
357,0.0006810399,0.77096134
358,0.00067889906,0.77164024
359,0.00067757524,0.7723178
360,0.0006763137,0.77299416
361,0.0006735312,0.7736677
362,0.0006716027,0.7743393
363,0.0006703674,0.7750097
364,0.00066892384,0.77567863
365,0.0006672279,0.77634585
366,0.0006648949,0.77701074
367,0.0006626287,0.77767336
368,0.00066151924,0.77833486
369,0.0006610706,0.77899593
370,0.00065907644,0.779655
371,0.0006564783,0.78031147
372,0.00065520406,0.78096664
373,0.00065404986,0.7816207
374,0.00065360655,0.7822743
375,0.0006527839,0.7829271
376,0.0006514033,0.7835785
377,0.0006498362,0.7842283
378,0.0006482334,0.7848766
379,0.00064658764,0.7855232
380,0.000644618,0.7861678
381,0.0006438609,0.78681165
382,0.000641352,0.787453
383,0.0006391597,0.78809214
384,0.00063695665,0.7887291
385,0.0006366816,0.78936577
386,0.00063448754,0.79000026
387,0.000632852,0.7906331
388,0.0006318626,0.79126495
389,0.00063086057,0.7918958
390,0.00062891154,0.7925247
391,0.0006278168,0.7931525
392,0.00062617863,0.7937787
393,0.00062300806,0.7944017
394,0.0006215377,0.79502326
395,0.0006207197,0.795644
396,0.00061812386,0.7962621
397,0.00061806047,0.7968801
398,0.0006134047,0.7974935
399,0.00061092246,0.79810447
400,0.0006091199,0.79871356
401,0.0006077902,0.79932135
402,0.00060620497,0.79992753
403,0.0006048049,0.80053234
404,0.0006030611,0.8011354
405,0.00060161087,0.801737
406,0.000599354,0.80233634
