id	assigned_topic	topic_label	lang
jindo-0543	0	0_fate_weaving_wind_song	ko
cheolwon-0310	0	0_fate_weaving_wind_song	ko
namhae-0205	0	0_fate_weaving_wind_song	ko
nonsan-0106	0	0_fate_weaving_wind_song	ko
ulsan-0919	0	0_fate_weaving_wind_song	ko
gochang-0712	18	18_lullaby lullaby_lullaby_lullaby baby_sleeps lullaby	ko
yangyang-1208	19	19_lullaby lullaby_lullaby_lullaby baby_baby sleeps	ko
muju-0508	0	0_fate_weaving_wind_song	ko
yanggu-0929	0	0_fate_weaving_wind_song	ko
hwacheon-0208	0	0_fate_weaving_wind_song	ko
gangjin-0309	35	35_honzíček_monastery_maidens young_set beloved	ko
dalseong-0119	11	11_sails_ashore_ship_weaving	ko
hampyeong-0404	17	17_weaving_loom_spinning_jade railing	ko
yeonggwang-0136	29	29_bridesmaid_bridesmaids_bid farewell_little kiss	ko
hampyeong-0403	0	0_fate_weaving_wind_song	ko
gwangjusi-0235	11	11_sails_ashore_ship_weaving	ko
andong-0223	0	0_fate_weaving_wind_song	ko
haenam-0523	24	24_lullaby baby_baby lullaby_lullaby little_lullaby	ko
namhae-0206	22	22_little bird_golden bird_hare_mandarin duck	ko
mungyeong-0513	0	0_fate_weaving_wind_song	ko
yeonggwang-0225	11	11_sails_ashore_ship_weaving	ko
seosan-0204	0	0_fate_weaving_wind_song	ko
sinan-0721	30	30_saint nicholas_nicholas saint_nicholas good_child golden	ko
inje-0209	21	21_young lad_stallions_crying young_village	ko
yeonggwang-0411	26	26_love sorrow_married dear_god dear_great sorrow	ko
yeongcheon-0223	0	0_fate_weaving_wind_song	ko
muju-0713	0	0_fate_weaving_wind_song	ko
damyang-0417	34	34_maids_husband home_husband_heaven	ko
hwacheon-0917	0	0_fate_weaving_wind_song	ko
dalseong-0308	22	22_little bird_golden bird_hare_mandarin duck	ko
dalseong-0213	18	18_lullaby lullaby_lullaby_lullaby baby_sleeps lullaby	ko
eumseong-0512	0	0_fate_weaving_wind_song	ko
sancheong-0118	0	0_fate_weaving_wind_song	ko
gwangyang-0108	0	0_fate_weaving_wind_song	ko
chilgok-0403	18	18_lullaby lullaby_lullaby_lullaby baby_sleeps lullaby	ko
cheongsong-0228	0	0_fate_weaving_wind_song	ko
gyeongsan-0703	0	0_fate_weaving_wind_song	ko
yeocheon-0231	0	0_fate_weaving_wind_song	ko
hongcheon-1312	0	0_fate_weaving_wind_song	ko
wando-0233	33	33_lullaby lullaby_lullaby_lullaby baby_sleep lullaby	ko
gimje-0508	0	0_fate_weaving_wind_song	ko
gyeongju-0210	33	33_lullaby lullaby_lullaby_lullaby baby_sleep lullaby	ko
damyang-0419	0	0_fate_weaving_wind_song	ko
yeonggwang-0519	0	0_fate_weaving_wind_song	ko
gn.goseong-0602	0	0_fate_weaving_wind_song	ko
jinan-0605	18	18_lullaby lullaby_lullaby_lullaby baby_sleeps lullaby	ko
milyang-1008	29	29_bridesmaid_bridesmaids_bid farewell_little kiss	ko
pyeongchang-1112	0	0_fate_weaving_wind_song	ko
goheung-0114	34	34_maids_husband home_husband_heaven	ko
wando-0520	0	0_fate_weaving_wind_song	ko
goesan-0120	22	22_little bird_golden bird_hare_mandarin duck	ko
yangyang-2207	0	0_fate_weaving_wind_song	ko
jeongseon-1406	34	34_maids_husband home_husband_heaven	ko
namwon-0313	0	0_fate_weaving_wind_song	ko
yeongyang-0120	0	0_fate_weaving_wind_song	ko
geochang-0222	34	34_maids_husband home_husband_heaven	ko
sangju-1409	29	29_bridesmaid_bridesmaids_bid farewell_little kiss	ko
seongju-0303	18	18_lullaby lullaby_lullaby_lullaby baby_sleeps lullaby	ko
gokseong-0106	31	31_lullaby_lullaby lullaby_lullaby little_lullaby baby	ko
bonghwa-0204	0	0_fate_weaving_wind_song	ko
hwacheon-0216	0	0_fate_weaving_wind_song	ko
yeonggwang-0420	19	19_lullaby lullaby_lullaby_lullaby baby_baby sleeps	ko
yeongwol-0306	0	0_fate_weaving_wind_song	ko
ulreung-0223	0	0_fate_weaving_wind_song	ko
icheon-0410	0	0_fate_weaving_wind_song	ko
bonghwa-0707	0	0_fate_weaving_wind_song	ko
bonghwa-0720	0	0_fate_weaving_wind_song	ko
yeongil-0332	29	29_bridesmaid_bridesmaids_bid farewell_little kiss	ko
jindo-0545	0	0_fate_weaving_wind_song	ko
cheolwon-0813	0	0_fate_weaving_wind_song	ko
muju-0441	0	0_fate_weaving_wind_song	ko
jeongseon-1316	0	0_fate_weaving_wind_song	ko
hampyeong-0439	29	29_bridesmaid_bridesmaids_bid farewell_little kiss	ko
seongju-0336	0	0_fate_weaving_wind_song	ko
cheolwon-1212	0	0_fate_weaving_wind_song	ko
hampyeong-0428	19	19_lullaby lullaby_lullaby_lullaby baby_baby sleeps	ko
jangheung-0229	19	19_lullaby lullaby_lullaby_lullaby baby_baby sleeps	ko
